From,To,Type,Legend,Alt_Legend,Branch,Owl,Shape,Shape_len
Oakton-Skokie,Howard,Elevated or at Grade,YL,YL,Yellow Line,No,Polyline,21195.44443
Pulaski-Midway,Kedzie-Midway,Elevated or at Grade,OR,OR,Orange Line,No,Polyline,5879.427258
Belmont-O'Hare,Logan Square,Subway,BL,BL,Blue Line O'Hare,Yes,Polyline,3515.432743
Kedzie-Homan,Western-Congress,Elevated or at Grade,BL,BL,Blue Line Forest Park,Yes,Polyline,4809.553793
Paulina Junction,Polk,Elevated or at Grade,PK,PK,Pink Line,No,Polyline,5100.674863
Division/Milwaukee,Chicago/Milwaukee,Subway,BL,BL,Blue Line O'Hare,Yes,Polyline,4058.725225
Belmont-North Main,Wellington,Elevated or at Grade,RD,RPB,Red Line North Side,Yes,Polyline,1355.33607
Irving Park-Ravenswood,Addison-Ravenswood,Elevated or at Grade,BR,BR,Brown Line,No,Polyline,2731.994588
Jarvis,Morse,Elevated or at Grade,RD,RDPR,Red Line North Side,Yes,Polyline,3001.49786
Cermak-Chinatown,Roosevelt/State,Subway,RD,RD,Red Line Dan Ryan,Yes,Polyline,5556.9765
UIC-Halsted,Clinton-Congress,Elevated or at Grade,BL,BL,Blue Line Forest Park,Yes,Polyline,2358.223604
Jackson/State,Harrison,Subway,RD,RD,Red Line State Street Subway,Yes,Polyline,1499.381566
Chicago/Franklin,Merchandise Mart,Elevated or at Grade,BR,BRPR,Brown Line,No,Polyline,3099.664177
Clark/Lake,State/Lake,Elevated or at Grade,ML,L4,Loop Elevated,No,Polyline,830.774585
Subway Portal B,North/Clybourn,Subway,RD,RD,Red Line North Side,Yes,Polyline,1620.929002
79th,69th,Elevated or at Grade,RD,RD,Red Line Dan Ryan,Yes,Polyline,6546.792039
43rd,Indiana,Elevated or at Grade,GR,GR,Green Line South Elevated,No,Polyline,2502.480315
Laramie,Cicero-Lake,Elevated or at Grade,GR,GR,Green Line Lake Street,No,Polyline,2811.631942
Pulaski-Douglas,Central Park,Elevated or at Grade,PK,PK,Pink Line,No,Polyline,2574.171766
Kimball,Kedzie-Ravenswood,Elevated or at Grade,BR,BR,Brown Line,No,Polyline,1790.3946
Kedzie-Midway,Western-Midway,Elevated or at Grade,OR,OR,Orange Line,No,Polyline,5524.174759
Western-Ravenswood,Damen-Ravenswood,Elevated or at Grade,BR,BR,Brown Line,No,Polyline,2684.375128
Ashland-Lake,Morgan,Elevated or at Grade,ML,PKGR,Green Line Lake Street,No,Polyline,4067.505131
Montrose-Ravenswood,Irving Park-Ravenswood,Elevated or at Grade,BR,BR,Brown Line,No,Polyline,2634.829426
Garfield-Dan Ryan,47th-Dan Ryan,Elevated or at Grade,RD,RD,Red Line Dan Ryan,Yes,Polyline,5476.512229
Halsted-Midway,17th Junction,Elevated or at Grade,OR,OR,Orange Line,No,Polyline,7782.010063
Tower 18,Clark/Lake,Elevated or at Grade,ML,L4,Loop Elevated,No,Polyline,824.344786
Grand/State,Lake/State,Subway,RD,RD,Red Line North Side,Yes,Polyline,2499.421187
North/Clybourn,Clark/Division,Subway,RD,RD,Red Line North Side,Yes,Polyline,5829.10158
Jefferson Park,Montrose-O'Hare,Elevated or at Grade,BL,BL,Blue Line O'Hare,Yes,Polyline,5796.537855
Kedzie-Douglas,California-Douglas,Elevated or at Grade,PK,PK,Pink Line,No,Polyline,2889.800417
California-Lake,Paulina Junction,Elevated or at Grade,GR,GR,Green Line Lake Street,No,Polyline,7309.368408
Rockwell,Western-Ravenswood,Elevated or at Grade,BR,BR,Brown Line,No,Polyline,1525.429301
18th,Polk,Elevated or at Grade,PK,PK,Pink Line,No,Polyline,4977.226049
Racine,UIC-Halsted,Elevated or at Grade,BL,BL,Blue Line Forest Park,Yes,Polyline,2681.143552
Paulina Junction,Ashland-Lake,Elevated or at Grade,ML,PKGR,Green Line Lake Street,No,Polyline,675.178121
Wilson,Sheridan,Elevated or at Grade,RD,RDPR,Red Line North Side,Yes,Polyline,4256.90095
Halsted/63rd,59th Junction,Elevated or at Grade,GR,GR,Green Line Ashland/63rd Branch,No,Polyline,9551.670404
Library,LaSalle/Van Buren,Elevated or at Grade,ML,L3,Loop Elevated,No,Polyline,960.148635
Roosevelt/Wabash,Tower 12,Elevated or at Grade,ML,GROR,Green Line South Elevated,No,Polyline,3441.161016
Morgan,Clinton-Lake,Elevated or at Grade,ML,PKGR,Green Line Lake Street,No,Polyline,2791.003036
Clinton-Lake,Tower 18,Elevated or at Grade,ML,PKGR,Green Line Lake Street,No,Polyline,2139.86652
Oak Park-Congress,Austin-Congress,Elevated or at Grade,BL,BL,Blue Line Forest Park,Yes,Polyline,4060.368802
Harlem-Lake,Oak Park-Lake,Elevated or at Grade,GR,GR,Green Line Lake Street,No,Polyline,2558.177793
Harlem-O'Hare,Jefferson Park,Elevated or at Grade,BL,BL,Blue Line O'Hare,Yes,Polyline,14394.666436
Austin-Lake,Central-Lake,Elevated or at Grade,GR,GR,Green Line Lake Street,No,Polyline,2311.091381
54/Cermak,Cicero-Douglas,Elevated or at Grade,PK,PK,Pink Line,No,Polyline,3093.089921
Montrose-O'Hare,Irving Park-O'Hare,Elevated or at Grade,BL,BL,Blue Line O'Hare,Yes,Polyline,5022.851249
Western-Congress,Illinois Medical District,Elevated or at Grade,BL,BL,Blue Line Forest Park,Yes,Polyline,3946.196573
Western/Milwaukee,Damen/Milwaukee,Elevated or at Grade,BL,BL,Blue Line O'Hare,Yes,Polyline,3572.81355
Illinois Medical District,Loomis Junction,Elevated or at Grade,BL,BL,Blue Line Forest Park,Yes,Polyline,1747.724481
Damen/Milwaukee,Division/Milwaukee,Elevated or at Grade,BL,BL,Blue Line O'Hare,Yes,Polyline,3793.536069
Chicago/Milwaukee,Grand/Milwaukee,Subway,BL,BL,Blue Line O'Hare,Yes,Polyline,2737.490698
Addison-Ravenswood,Paulina,Elevated or at Grade,BR,BR,Brown Line,No,Polyline,2024.296732
Paulina,Southport,Elevated or at Grade,BR,BR,Brown Line,No,Polyline,1979.486271
Diversey,Fullerton,Elevated or at Grade,RD,RPB,Red Line North Side,Yes,Polyline,2799.749884
Thorndale,Bryn Mawr,Elevated or at Grade,RD,RDPR,Red Line North Side,Yes,Polyline,2462.586959
Howard,Jarvis,Elevated or at Grade,RD,RDPR,Red Line North Side,Yes,Polyline,1554.32866
Jackson/Dearborn,LaSalle,Subway,BL,BL,Blue Line Dearborn Subway,Yes,Polyline,1569.026226
Roosevelt/State,Harrison,Subway,RD,RD,Red Line State Street Subway,Yes,Polyline,2431.450805
Chicago/State,Grand/State,Subway,RD,RD,Red Line North Side,Yes,Polyline,1824.767976
Garfield-South Elevated,51st,Elevated or at Grade,GR,GR,Green Line South Elevated,No,Polyline,2520.365767
Ridgeland,Austin-Lake,Elevated or at Grade,GR,GR,Green Line Lake Street,No,Polyline,2594.492724
Central-Lake,Laramie,Elevated or at Grade,GR,GR,Green Line Lake Street,No,Polyline,2916.164281
Cicero-Douglas,Kostner,Elevated or at Grade,PK,PK,Pink Line,No,Polyline,3538.786543
Cicero-Congress,Pulaski-Congress,Elevated or at Grade,BL,BL,Blue Line Forest Park,Yes,Polyline,5492.162756
